id,titular
[0],Novak Djokovic arrasa a Taylor Fritz y está en semifinales del US Open
[1],Dos ‘hermosos problemas’ que tiene que resolver Scaloni en el medio campo y ataque de Argentina para recibir a Ecuador
[2],"Carlos Alfaro Moreno, presidente de Barcelona SC, y el Argentina-Ecuador: Hay que hacer un buen partido que dé confianza y ser fuerte de local"
[3],"Santiago Morales, gerente de Independiente del Valle, defiende la convocatoria a la Tri de Kevin Rodríguez"
[4],Quién debe supervisar a Kendry Páez en la media de Ecuador si le toca debutar ante Argentina
[5], Así se contrata El Canal del Fútbol y este es el precio en Ecuador para ver en vivo las eliminatorias sudamericanas al Mundial 2026
[6],Federación Boliviana de Fútbol anula torneos profesionales por denuncias de corrupción en partidos
[7],Liga Pro y Bundesliga alemana llegan a acuerdo para mejorar seguridad en estadios de Ecuador
[8],Canales y streaming para ver en vivo Argentina vs. Ecuador por las eliminatorias sudamericanas al Mundial 2026 
[9],Calendario de partidos de las Eliminatorias Sudamericanas 2026 para este jueves 7 de septiembre
[10],España despide a DT de su selección femenina como “medida de renovación” tras el polémico beso de Luis Rubiales a Jenni Hermoso
[11],"‘No sabe qué hacer, no corre riesgo y hace lo mínimo’, la candente crítica de un campeón del mundo y figura del Chelsea contra Moisés Caicedo"
[12],Los estrenará ante Ecuador: así son los nuevos botines del ‘GOAT’ Leo Messi fabricados por Adidas
[13],Canales y streaming para ver en vivo Colombia vs. Venezuela por las eliminatorias sudamericanas al Mundial 2026 
[14],Eliminatorias Sudamericanas 2026: ¿Cuántas selecciones de la Conmebol clasifican al mundial?
[15],"La más fácil, la más dolorosa"
[16],"Fútbol de Guayaquil, con un aire fúnebre"
[17],Cuando un amigo se va: Carlos Falquez
[18],"Penales, gloria y drama"
[19],"¡José Pileggi, presidente de Emelec, debe reaccionar ya, no pasado mañana!"
[20],
[21],
[22],
[23],
[24],
[25],
[26],
[27],
[28],
[29],
[30],
[31],
[32],
[33],
[34],
